venta_pen|venta_usd|mant|alquiler_pen|alquiler_usd|mant_alquiler|tipo|distrito|m_tot|m_cub|baños|dorm|estac|antiguedad|fecha_publicacion|url_canonical|link|lat|lon
2210000.0|650000.0|||||Venta de casa|La Molina|527.0|401.0|4.0|5.0|3.0|14|2026-03-28|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-molina-lima-5-a-mas-dormitorios-149407656|55846e6e6c756860|-12.0810808|-76.9005614
709800.0|210000.0|||||Venta de casa|Jesús María|145.0|145.0|4.0|4.0|3.0|36|2025-04-09|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-oyague-jesus-maria-4-dormitorios-146193974|bb9cd4a0f09bdac0|-12.0807301|-77.0501427
252720.0|72000.0|||||Venta de departamento|Santiago de Surco|52.0|52.0|1.0|2.0||14|2026-03-14|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-2-dormitorios-149271704|68aeb30abe4b0b68|-12.1428314|-77.0072652
2853600.0|820000.0|||||Venta de casa|La Molina|||4.0|4.0|3.0|20|2026-03-24|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-molina-lima-4-dormitorios-149368279|4bfe3ca2ec784bce|-12.079667306386032|-76.916108522229
510000.0|151000.0|||||Venta de departamento|San Miguel|127.0|127.0|3.0|4.0||9|2025-11-26|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-4-dormitorios-148313247|d2b1282d0440f174|-12.0660209|-77.1006357
640000.0|160000.0|130.0||||Venta de departamento|La Molina|92.0|92.0|2.0|3.0|1.0|8|2025-06-17|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-molina-lima-3-dormitorios-146767732|ee952c85461e6ce2|-12.0691977|-76.9689195
183500.0|50000.0|265.0||||Venta de terreno|Pachacamac|1000.0|450.0||||a estrenar|1 año|https://urbania.pe/inmueble/clasificado/vecltein-venta-de-terreno-en-pachacamac-lima-145952445|8e029043bf1da837|-12.14415084411712|-76.8083958581665
209.0|55.0|||||Venta de terreno|Chilca|37292.0|||||a estrenar|1 año|https://urbania.pe/inmueble/clasificado/vecltein-venta-de-terreno-en-chilca-canete-142797732|dd747c630e58b972|-12.4943218|-76.7151981
792000.0|220000.0|||||Venta de departamento|Santiago de Surco|89.0||2.0|2.0|1.0|a estrenar|2025-12-27|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-del-estanque-santiago-de-surco-2-dormitorios-148535596|0da84d7a98ac90a2|-12.112767|-76.9859077
403768.0||||||Venta de departamento|Pueblo Libre|64.0|51.0|1.0|2.0||a estrenar|2026-02-05|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-2-dormitorios-148896038|a96411a25ffe6eda|-12.069215606474032|-77.0664264645874
185000.0|50000.0|500.0||||Venta de terreno|Chilca|350.0|350.0||||5|1 año|https://urbania.pe/inmueble/clasificado/vecltein-venta-de-terreno-en-chilca-canete-59731574|d0913689c1698aff|-12.5182017|-76.7295921
838000.0|250000.0|||||Venta de departamento|Lince|95.0|95.0|2.0|3.0||4|2026-02-21|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-149050781|126814e2cd1a71af|-12.0854161|-77.032327
2432000.0|640000.0|150.0||||Venta de casa|La Molina|355.0|335.0|5.0|5.0|3.0|9|2025-06-17|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-molina-lima-5-a-mas-dormitorios-146767646|8d55af31ba3b0a10|-12.0859011|-76.9237782
2736000.0|800000.0|||||Venta de casa|La Molina|780.0|568.0|5.0|5.0|2.0|18|2026-03-18|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-rincon-de-la-planicie-la-molina-5-a-mas-dormitorios-149320026|5945d648b0ba43d9|-12.0756385|-76.9110056
1387500.0|375000.0|400.0||||Venta de departamento|San Borja|205.0|205.0|3.0|3.0|2.0|10|1 año|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-4266879|432e2cfc8804ffbf|-12.0921887|-77.0006295
888000.0||||||Venta de local comercial|Lima Cercado|42.0|42.0|1.0|||a estrenar|1 año|https://urbania.pe/inmueble/clasificado/vecllcin-venta-de-local-comercial-en-lima-cercado-lima-145466935|0b2854b5bcefb3b7|-12.0554281|-77.03804989999999
2160000.0|600000.0|1500.0||||Venta de casa de playa|Asia|330.0|302.0|7.0|6.0|3.0|15|2025-09-01|https://urbania.pe/inmueble/clasificado/veclcpin-venta-de-casa-de-playa-en-cocoa-asia-5-a-mas-dormitorios-147508215|4fa651dd53cbe28f|-12.7825321|-76.5936054
320000.0||||||Venta de departamento|San Martín de Porres|158.0|158.0|2.0|3.0|1.0|30|2025-10-19|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-martin-de-porres-lima-3-dormitorios-147954612|f22d78a7ac39cac4|-11.9958625|-77.08642189999999
